Clave de articulo: ,Marca: ,Nombre: ,Descripcion: ,Disponibilidad: ,Precio: 
,,,,,
CL130004897,MAL,MAL For Men,Fragancia de verano para caballero,5,490.9
CL120004673,Belle Queen,Belle Fragrance Night,Fragancia de noche para mujer,8,459.3
CL180046182,Piel de Luna,Veneno de Abeja,Crema facial para la reduccion de arrugas,16,375.0
CL180046183,Piel de Luna,Veneno de abeja,Crema corporal para fomentar la produccion de colageno,18,289.9
CL150006428,Cinquessence,Belle Essence Day,Fragancia nocturna para dama,4,286.75
CL160017689,Klickiss,Reloj azul para infante,Reloj azul resistente para menores de edad,2,562.5
CL140048216,Beclay,Anillo para caballero,Anillo de acero inoxidable y cuero,2,275.6
CL1200007641,MAL,CL for Women,Fragancia de verano para dama,4,689.9
CL160032491,Cinquessence,Queen Essence Night,Escencia nocturna para dama,3,345.0
CL120068419,Belle Queen,Anillo de plata de primera ley,Anillo hecho de la más fina plata para dama,4,498.9
CL110034186,Beclay,Collar tricolor dama,Collar de oro, plata y bronce para dama,1,499.9
CL160074918,MAL,Reloj para caballero,Reloj de titanio contra agua para caballlero,2,9485.8
CL180058619,Belle Queen,Sirum facial restaurador,Sirum que promueve la produccion de colageno en la cara,11,351.2
CL150063498,Beclay,Aretes de plata,Aretes de plata de primera ley para noche,5,448.9
CL240086418,Klickiss,Anillo para caballero,Anillo de plata de primera ley y lana,8,339.9
LA400654916,Cinquessence,ASUFB,ASUFB,5,16.2
