Item no.,Clothing brand,Description,Category,Colour,Fabric,Style,Availability,Fit,Price
,,,,,,,,,
A01,Adidas,Superstar LGBT sneakers,Street-style,Multiple colours,Synthetic leather,Low-top,10,Not Available.,80.52
A02,Calvin Klein,Red and black CK t-shirt,Casual,White, red and black,100% cotton,T-shirt,3,Athletic fit,42.75
A03,Levi's,Dark blue denim jeans,Casual,Dark blue,100% cotton,Non-distressed denim jeans,21,Slim-fit,60.33
A04,Nike,AirMax sneakers,Running shoes,Black and orange,Polyester,Low-top,15,Not Available.,59.99
A05,Calvin Klein,Light faded denim shorts,Shorts,Light blue,100% cotton,Slightly distressed denim shorts,3,Loose fit,35.98
A06,Express,Reflective Express lion jacket,Casual jacket,Black and red,89% cotton, 11% polyester,Sports jacket,48,Athletic fit,52.99
A07,H&M,Red and black squared shirt,Casual shirt,Red and black,100% cotton,Shirt,16,Regular fit,25.99
A08,Adidas,Black semi-transparent leggings,Sportswear,Black,95% cotton, 5% spandex,Leggings,52,Super-skinny fit,49.99
A09,Converse,Original Chuck-Taylors,Street-style,Black and white,100% cotton,HI-top,44,Not Available.,49.99
A10,Vans,Classic sk8r hi-top sneakers,Street-style,Brown,100% canvas,Hi-top,23,Not Available.,49.99
A11,Banana Republic,Business casual grey blazer,Formal,Grey,100% Linen,Blazer,6,Slim-fit,89.99
A12,Armani Exchange,Biker leather jacket,Casual jacket,Black and silver,Genuine leather,Jacket,12,Slim-fit,149.99
A13,Adidas,Comfortable basketball shorts,Sportswear,Navy blue and white,100% cotton,Sports shorts,78,Loose-fit,29.99
A14,Under Armour,Breathable under-shirt,Sportswear,Black,95% cotton, 5% spandex,Under-shirt,46,Skin-tight fit,19.99
A15,Victoria's Secret,Comfortable PINK sports-bra,Sportswear,Light blue,100% Cotton,Sports-bra,13,Athletic fit,44.99
A16,Giorgio Armani,Beautifully crafted leather loafers,Semi-formal shoes,Brown,Italian leather,Loafers,2,Not Available.,289.75
A17,Old Navy,Iron Man faded t-shirt,Casual t-shirt,Pink and yellow,100% cotton,T-shirt,56,Regular fit,18.99
A18,Aeropostale,Comfortable squared grey slippers,In-house use footwear,Grey,100% cotton,Slippers,15,Not Available.,16.54
A19,Nike,Running shorts,Sportswear,Orange,100% cotton,Sports shorts,23,Athletic fit,24.98
A20,Armani Exchange,Beautiful business formal skirt,Formal,Black,100% cotton,Formal skirts,43,Slim-fit,54.55
A21,Disney,Mickey Mouse hoodie,Casual winter wear,Black,100% cotton,Hoodie,11,Regular fit,59.98
A22,Disney,Minnie Mouse,Casual winter wear,Black,100% cotton,Hoodie,11,Regular fit,59.98
A23,Thursday Boots,Brown suede casual boot,Casual footwear,Brown,Suede,Boots,21,Not Available.,46.99
A24,Vans,Limited edition Nintendo vans,Casual footwear,Multiple colours,Canvas,Sneakers,3,Not Available.,495.96
A25,Flexi,Every day boots,Casual footwear,Light brown,Synthetic leather,Boots,62,Not Available.,26.55
A26,Lacoste,White polo t-shirt,Business casual wear,White,100% Linen,Polo t-shirt,31,Athletic fit,39.65
A27,Nike,Womens running shorts,Sportswear,Purple,100% cotton,Sports shorts,18,Athletic fit,29.94
A28,Levi's,Ripped and distressed casual womens jeans,Casual,Blue,100% cotton,Heavily distressed denim jeans,15,Skinny fit,69.99
A29,Timberland,Casual rugged boots,Casual footwear,Yellowish brown,Genuine leather,Boots,18,Not Available.,49.68
A30,Wrangler,Classic boot cut jeans,Casual jeans,Black,100% cotton,Heavy duty denim jeans,13,Straight cut,16.99
A31,Levi's,Casual red and blue shirt,Casual shirt,Red and blue,100% cotton,Shirt,12,Athletic fit,29.64
A32,Calvin Klein,Black classic leather jacket,Casual jacket,Black,Italian leather,Jacket,11,Regular fit,198.65
A33,Lacoste,Oxford blue formal shirt,Formal shirts,Oxford blue,100% Linen,Shirts,5,Slim fit,49.63
A34,Zara,Red jeans,Casual jeans,Red,100% cotton,Non-distressed jeans,16,Slim fit,37.88
